,project_id,program,unit_type,affordability_start_year,affordability_expiration_year,longitude,latitude,total_units,total_affordable_units
292,4375,Developer Incentive,Single Family,2013,2014,-97.70269775,30.29980087,1,1
293,5337,Developer Incentive,Single Family,2017,2018,-97.699037,30.294704,1,1
294,5460,NHCD Program,Single Family,1993,2023,-97.722927,30.266657000000002,1,1
295,4839,Developer Incentive,Single Family,2008,2009,-97.770339,30.139573,1,1
296,5529,Developer Incentive,Multifamily,2020,2119,-97.752302,30.254740999999996,1,1
297,4872,Developer Incentive,Single Family,2010,2011,-97.769639,30.141478999999997,1,1
298,5543,NHCD Program,Multifamily,2018,2117,-97.72018,30.274379999999997,1,1
299,4299,Developer Incentive,Single Family,2014,2015,-97.70059967,30.29710007,1,1
300,3601,Developer Incentive,Multifamily,2011,2052,-97.7301366977258,30.3193518296524,23,2
301,3259,NHCD Program,Single Family,2008,2048,-97.71048579649191,30.2688504901787,1,1
302,5018,Developer Incentive,Single Family,2007,2008,-97.693159,30.201176,1,1
303,3929,NHCD Program,Single Family,2010,2040,-97.68376500000001,30.258915999999996,1,1
304,4108,Developer Incentive,Single Family,2008,2009,-97.70400238,30.29120064,1,1
305,4844,Developer Incentive,Single Family,2009,2019,-97.76849200000001,30.138923,1,1
306,4018,Developer Incentive,Single Family,2014,2015,-97.70120239,30.30080032,1,1
307,3563,Developer Incentive,Multifamily,2008,2023,-97.74390447934229,30.286791765767898,232,23
308,5466,NHCD Program,Single Family,1993,2023,-97.723095,30.266176,1,1
309,5388,Developer Incentive,Single Family,2010,2011,-97.696211,30.194876,1,1
310,4165,Developer Incentive,Single Family,2008,2009,-97.70120239,30.29579926,1,1
311,4117,Developer Incentive,Single Family,2008,2009,-97.70449829,30.29439926,1,1
312,4795,Developer Incentive,Single Family,2007,2008,-97.768815,30.141446999999996,1,1
313,5128,Developer Incentive,Single Family,2011,2012,-97.70105799999999,30.19906,1,1
314,4231,Developer Incentive,Single Family,2009,2010,-97.70200348,30.29439926,1,1
315,3336,NHCD Program,Single Family,2013,2023,-97.6464674534919,30.294659987279395,1,1
316,5014,Developer Incentive,Single Family,2007,2008,-97.695727,30.195445,1,1
317,4198,Developer Incentive,Single Family,2008,2009,-97.70120239,30.29120064,1,1
318,4892,Developer Incentive,Single Family,2011,2012,-97.768772,30.138099,1,1
319,4462,NHCD Program,Duplex,2013,2112,-97.70300999999999,30.269795000000002,2,2
320,4973,Developer Incentive,Single Family,2006,2007,-97.69465500000001,30.198939000000003,1,1
321,3680,Developer Incentive,ADU,2016,2021,-97.71696522602909,30.318292917026803,1,1
322,4081,Developer Incentive,Single Family,2016,2017,-97.694035,30.29389954,1,1
323,3245,NHCD Program,Multifamily,2000,2020,-97.8872430326643,30.251224107017304,160,160
