ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PATTON ELEMENTARY,06/01/2016 12:00:00 AM,968.0,206.0,42.0,720.0,110041.5
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PEASE ELEMENTARY,06/01/2016 12:00:00 AM,268.0,35.0,12.0,221.0,25769.51
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PECAN SPRINGS ELEMENTARY,06/01/2016 12:00:00 AM,478.0,442.0,14.0,22.0,307852.44999999995
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PEREZ ELEMENTARY,06/01/2016 12:00:00 AM,766.0,631.0,67.0,68.0,444505.18
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PICKLE ELEMENTARY,06/01/2016 12:00:00 AM,694.0,649.0,26.0,19.0,409275.2400000001
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PILLOW ELEMENTARY,06/01/2016 12:00:00 AM,537.0,349.0,62.0,126.0,228132.06
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PLEASANT HILL ELEMENTARY AUSTINEMENTARY AUSTIN,06/01/2016 12:00:00 AM,563.0,458.0,39.0,66.0,310940.29
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PREMIER H S AT LANIER,06/01/2016 12:00:00 AM,124.0,95.0,3.0,26.0,18052.1
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PREMIER H S AT TRAVIS,06/01/2016 12:00:00 AM,130.0,94.0,5.0,31.0,19080.5
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,READ PRE-K DEMONSTRATION SCH,06/01/2016 12:00:00 AM,308.0,308.0,0.0,0.0,237025.24
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,REAGAN HIGH SCHOOL AUSTIN,06/01/2016 12:00:00 AM,1265.0,1016.0,66.0,183.0,353797.9599999999
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,REILLY ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,272.0,228.0,16.0,28.0,156168.87
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,RIDGETOP ELEMENTARY,06/01/2016 12:00:00 AM,294.0,111.0,13.0,170.0,85555.2
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,RODRIGUEZ ELEMENTARY,06/01/2016 12:00:00 AM,709.0,643.0,33.0,33.0,543369.1799999999
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ROSEDALE SCHOOL,06/01/2016 12:00:00 AM,263.0,62.0,6.0,195.0,21162.11
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SANCHEZ ELEMENTARY,06/01/2016 12:00:00 AM,403.0,360.0,23.0,20.0,254739.94
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,SCHOOL FOR YOUNG MEN AUSTIN,06/01/2016 12:00:00 AM,432.0,379.0,27.0,25.0,289408.0
